,accuracy,auroc,optim_acc,optim_acc_train
0,0.6627027027027027,0.7015513474378915,0.9959639639639639,0.9893687947096239
1,0.6627027027027027,0.7006573880730569,0.9963963963963964,0.9888822819251492
2,0.6548468468468468,0.6966275202971928,0.9960360360360361,0.9891345478133953
3,0.6556396396396397,0.6946649285184346,0.9960360360360361,0.9893507757176063
4,0.6543423423423423,0.693295748444797,0.9965405405405405,0.9889543578932195
5,0.6586666666666666,0.6962411381800957,0.9962522522522522,0.9887741679730436
6,0.6593873873873873,0.6940463809463024,0.9964684684684685,0.9887020920049733
7,0.6618378378378378,0.6993915009564531,0.9959639639639639,0.9891165288213777
8,0.6592432432432432,0.6959394867682259,0.9963243243243243,0.9888642629331316
9,0.6634234234234234,0.6978906710962745,0.9966846846846846,0.9886480350289205
